word,Occurance
really,4
liked,1
lot,2
warning,1
spoilers,1
ahead,1
try,1
give,2
much,3
away,2
thought,1
invisible,4
man,4
enjoyable,1
enough,1
life,1
understand,2
critic,1
user,1
ratings,1
high,1
premise,1
somewhat,1
interesting,1
woman,2
peril,1
spin,1
h,1
g,1
wells,1
classic,2
story,3
usage,1
pace,2
suspenseful,3
silence,1
helped,1
build,1
paranoia,1
horror,6
seemed,1
drag,1
bit,1
found,1
checking,1
time,2
begging,1
move,1
current,1
scene,2
parts,1
characters,2
development,1
relationships,1
find,1
believable,2
one,3
attempt,2
show,1
bonding,1
cecilia,6
james,2
sydney,2
gifted,1
generously,1
college,1
grant,1
little,1
objection,1
says,1
nah,1
okay,1
everybody,1
cool,1
starts,2
rough,1
housing,1
get,1
movie,8
felt,1
many,2
discovery,1
sequences,2
interactions,1
big,1
gripe,1
film,2
antagonist,1
apparently,2
invincible,1
unlimited,1
number,1
trained,1
police,1
officers,1
often,1
bested,1
weaker,1
victim,2
implausible,1
ways,1
smashing,1
upside,1
head,2
plates,1
pinned,1
struggling,1
miraculously,1
getting,1
buy,2
loose,2
ends,2
catches,1
lyft,1
directly,1
ex,1
husband,2
mansion,1
discovers,1
secret,1
invisibility,2
suit,1
escapes,1
adrian,1
another,3
questionable,1
meets,1
sister,2
upscale,1
downtown,1
restaurant,1
whatever,1
happened,1
wearing,1
point,1
setting,1
appears,1
nothing,1
support,1
reconciliation,1
seem,1
discuss,1
overall,2
fun,1
watch,2
left,1
scratching,1
favorite,1
childhood,1
movies,2
watching,1
original,1
1930s,1
40s,1
universal,2
monster,1
like,3
dracula,2
terrible,1
untold,1
reboot,1
frankenstein,2
abysmal,1
mummy,1
god,2
awful,2
starring,1
tom,1
cruise,1
especially,1
think,1
well,3
trying,1
launch,1
massive,1
cinematic,1
universe,1
overly,1
produced,1
action,1
scenes,1
dealing,1
narcissistic,1
actors,1
studio,1
executives,1
focus,1
simple,1
stocked,1
sociopathic,1
made,1
make,2
look,2
crazy,1
may,1
finally,1
come,1
half,2
decent,2
product,1
definitely,1
fact,1
best,1
thing,1
studios,1
managed,1
crank,1
already,1
mentioned,1
let,1
aspect,1
take,1
full,1
advantage,1
concept,1
far,1
go,1
use,1
power,1
others,1
although,1
blum,1
house,1
production,1
even,2
seen,1
films,1
pretty,1
predict,1
almost,1
every,1
single,1
jump,1
scare,1
usually,1
accompanied,1
loud,1
screech,1
add,2
fake,1
surprise,1
acting,2
good,2
across,1
board,1
say,1
extras,1
kinda,1
gave,1
flat,1
tone,1
delivery,1
cinematography,1
shot,1
composition,1
creepy,1
presence,1
kitchen,1
frame,1
suddenly,1
dose,1
aggressively,1
gets,1
dangerous,1
done,1
alfred,1
hitchcock,1
levels,1
suspense,1
quite,1
recommend,1
monsters,1
great,4
shadowing,1
end,1
want,1
know,1
dm,1
tell,1
8,1
10,1
waste,1
portraying,1
women,1
abusive,1
relationship,1
b,1
suffering,1
toxic,1
masculinity,1
heard,1
yawn,1
thriller,1
sci,1
fi,1
elizabeth,2
moss,2
performance,1
excellent,1
fantastic,1
plot,1
incredible,1
example,1
remake,1
classics,2
boring,1
hollywood,1
cookie,1
cutter,1
though,1
everything,1
else,1
stupid,1
poor,1
writing,1
without,1
proper,1
search,1
plotting,1
close,1
able,1
literally,1
rent,1
0,2
percent,1
